,KNO6
KNO4,0.6240459760510197
GP1,0.5946182661152618
GP2,0.5946182661152618
GP6,0.5334075622504554
TA1,0.4935877460756554
CONSC,0.48830452932067536
BFX6,0.4613622315814984
EXTRA,0.45326916549672586
OWNEM,0.4322141574767807
BFX14,0.43110166848043574
