,PEERW
OTHEM,0.5993276464991588
OWNEM,0.4390999935813248
WEIP14,0.4390570399587615
TA2,0.42351302988131345
WEIP9,0.42083981736552484
GP6,0.4174382722658544
CONSC,0.39081942035917555
RACE3,0.39052020633285783
GP1,0.388876706268717
GP2,0.388876706268717
