,TA5
GP7,0.6269504345122826
TASK1,0.5547740331901118
WEIP5,0.4231139606876777
WEIP6,0.3617725053169075
WEIP4,0.3546040716334876
WEIP1,0.33798537776226095
PEERC,0.33679534510227194
TIE2,0.32005910128139253
RACE3,0.31813394342035917
OTHEM,0.31413090822828804
