,TA4
GP4,0.4951258345327568
WEIP9,0.46528538152184423
CONSC,0.4539214448064671
KNO4,0.4467775021778087
WEIP14,0.41957319583913694
GP2,0.41551636087384836
GP1,0.41551636087384836
RACE1,0.40159742006750754
WEIP12,0.38768085158767784
BFX13,0.3766753620270497
