,PEERC
EDU4,0.4916204186015244
BFX12,0.4653544991115918
ETH3,0.4518374926308561
AGE1,0.45099670608706777
BFX7,0.4413951038147383
WEIP6,0.44085868167861075
WEIP12,0.42076772292031406
EDU1,0.3972977664543683
TA6,0.3962201347591418
BFX10,0.3863289191637901
